antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'HR_high'}),frozenset({'Temp_abnormal'}),0.33001204733895545,0.12109250681286682,0.04668182784545905,0.14145492027299275,1.1681558503995089,1.0,0.006719841754738463,1.023717349200348,0.21485437415367276,0.1154283001645562,0.023167868766582986,0.2634802120371566
frozenset({'Temp_abnormal'}),frozenset({'HR_high'}),0.12109250681286682,0.33001204733895545,0.04668182784545905,0.3855055038013205,1.1681558503995089,1.0,0.006719841754738463,1.090307491451352,0.16378269997163405,0.1154283001645562,0.08282754375202904,0.2634802120371566
frozenset({'HR_high'}),frozenset({'Resp_high'}),0.33001204733895545,0.2893190998640648,0.1320742683013252,0.4002104449407318,1.383283872819903,1.0,0.036595479820921484,1.1848837548791746,0.41356353501599785,0.27105675470201296,0.15603535293470858,0.4283553939304936
frozenset({'Resp_high'}),frozenset({'HR_high'}),0.2893190998640648,0.33001204733895545,0.1320742683013252,0.45650034292025543,1.3832838728199028,1.0,0.036595479820921484,1.2327293015434988,0.38988325993794654,0.27105675470201296,0.18879189555411605,0.4283553939304936
frozenset({'HR_high'}),frozenset({'SBP_low'}),0.33001204733895545,0.13512089214732542,0.050611064224557245,0.15336126251347004,1.1349929687132077,1.0,0.006019541968752193,1.0215444552186401,0.17752151012746825,0.12209503827174883,0.021090080914813503,0.26396130791691735
frozenset({'SBP_low'}),frozenset({'HR_high'}),0.13512089214732542,0.33001204733895545,0.050611064224557245,0.37456135332036467,1.1349929687132077,1.0,0.006019541968752193,1.07122889865843,0.13751895732444885,0.12209503827174883,0.06649269707681935,0.26396130791691735
frozenset({'HR_high'}),frozenset({'WBC_abnormal'}),0.33001204733895545,0.294850567899962,0.11834738856211466,0.3586153581858787,1.2162613785690624,1.0,0.0210431489903945,1.0994173950058446,0.2653903072713606,0.23365020897511887,0.09042734402552922,0.37999813291337764
frozenset({'WBC_abnormal'}),frozenset({'HR_high'}),0.294850567899962,0.33001204733895545,0.11834738856211466,0.4013809076408766,1.2162613785690621,1.0,0.0210431489903945,1.1192224925881675,0.25215691955573916,0.23365020897511887,0.10652260241166985,0.37999813291337764
frozenset({'HR_high'}),frozenset({'Lactate_high'}),0.33001204733895545,0.09087559028739668,0.040988654885614706,0.1242035107994565,1.3667422726681533,1.0,0.010998615281734833,1.0380544120957629,0.4005044549565353,0.10789356315172728,0.03665936164071934,0.28762246319368534
frozenset({'Lactate_high'}),frozenset({'HR_high'}),0.09087559028739668,0.33001204733895545,0.040988654885614706,0.4510414155879142,1.3667422726681535,1.0,0.010998615281734833,1.2204708546065943,0.29515559910307915,0.10789356315172728,0.1806440963128617,0.28762246319368534
frozenset({'HR_high'}),frozenset({'Sepsis'}),0.33001204733895545,0.01798467990800214,0.00861352523176632,0.026100638753103964,1.4512706863073328,1.0,0.0026783641945907575,1.0083334676744329,0.4641108342551098,0.025379939786709795,0.00826459493966092,0.25251872459219893
frozenset({'Sepsis'}),frozenset({'HR_high'}),0.01798467990800214,0.33001204733895545,0.00861352523176632,0.4789368104312939,1.4512706863073328,1.0,0.0026783641945907575,1.285809410592996,0.31664339780489364,0.025379939786709795,0.22227976264474916,0.25251872459219893
frozenset({'Resp_high'}),frozenset({'Temp_abnormal'}),0.2893190998640648,0.12109250681286682,0.0404603758512057,0.139846888332695,1.1548764825623004,1.0,0.005426000779823942,1.0218035385391737,0.18870147519585398,0.10936678264564417,0.021338288346843225,0.23698735636089852
frozenset({'Temp_abnormal'}),frozenset({'Resp_high'}),0.12109250681286682,0.2893190998640648,0.0404603758512057,0.334127824389102,1.1548764825623001,1.0,0.005426000779823942,1.0672932826543289,0.152583218699007,0.10936678264564417,0.06305041336620476,0.23698735636089852
frozenset({'SBP_low'}),frozenset({'Temp_abnormal'}),0.13512089214732542,0.12109250681286682,0.020762010294998745,0.1536550711370485,1.2689065176799337,1.0,0.0043998827420881,1.0384743420958744,0.245028326669998,0.0881796043450899,0.0370489096709164,0.16255542592875855
frozenset({'Temp_abnormal'}),frozenset({'SBP_low'}),0.12109250681286682,0.13512089214732542,0.020762010294998745,0.1714557807204686,1.2689065176799337,1.0,0.0043998827420881,1.0438538918354152,0.2411173897272264,0.0881796043450899,0.04201152304783451,0.16255542592875855
frozenset({'WBC_abnormal'}),frozenset({'Temp_abnormal'}),0.294850567899962,0.12109250681286682,0.039536531783714836,0.1340900648939192,1.1073357751288315,1.0,0.003832337381511036,1.015010288661788,0.13746242634744726,0.10503678144394125,0.014788311832363676,0.23029432352329993
frozenset({'Temp_abnormal'}),frozenset({'WBC_abnormal'}),0.12109250681286682,0.294850567899962,0.039536531783714836,0.3264985821526806,1.1073357751288317,1.0,0.003832337381511036,1.0469902711621213,0.11028640969085184,0.10503678144394125,0.04488128730170882,0.23029432352329993
frozenset({'Lactate_high'}),frozenset({'Temp_abnormal'}),0.09087559028739668,0.12109250681286682,0.015507566630803821,0.17064611720001702,1.4092211127789191,1.0,0.004503213594803945,1.0597496574319423,0.31941519503266497,0.07893476920655325,0.05638091695800283,0.14935495883463165
frozenset({'Temp_abnormal'}),frozenset({'Lactate_high'}),0.12109250681286682,0.09087559028739668,0.015507566630803821,0.1280638004692463,1.4092211127789191,1.0,0.004503213594803945,1.0426501505521424,0.33039671738864035,0.07893476920655325,0.040905523803508606,0.14935495883463165
frozenset({'Sepsis'}),frozenset({'Temp_abnormal'}),0.01798467990800214,0.12109250681286682,0.0043421959657520565,0.24143860151884222,1.9938360173842558,1.0,0.0021643859914650784,1.1586504335007561,0.5075829573427579,0.03222767850738989,0.13692691851968525,0.13864855204027193
frozenset({'Temp_abnormal'}),frozenset({'Sepsis'}),0.12109250681286682,0.01798467990800214,0.0043421959657520565,0.03585850256170163,1.993836017384256,1.0,0.0021643859914650784,1.018538588683497,0.5671293556966667,0.03222767850738989,0.018201164776151378,0.13864855204027193
frozenset({'Resp_high'}),frozenset({'SBP_low'}),0.2893190998640648,0.13512089214732542,0.03967762094046553,0.1371413811224626,1.0149531944544459,1.0,0.0005845660515719567,1.0023416222900636,0.020730669239153735,0.10312240469365339,0.002336151904690655,0.21539336287309002
frozenset({'SBP_low'}),frozenset({'Resp_high'}),0.13512089214732542,0.2893190998640648,0.03967762094046553,0.29364534462371744,1.014953194454446,1.0,0.0005845660515719567,1.0061247487033946,0.017034624309380072,0.10312240469365339,0.00608746451301161,0.21539336287309002
frozenset({'WBC_abnormal'}),frozenset({'Resp_high'}),0.294850567899962,0.2893190998640648,0.09925912086637761,0.3366421220530076,1.1635668789622853,1.0,0.013953219967152292,1.0713385998149316,0.19935303687452144,0.20469573512355133,0.06658828481234139,0.33986023855231184
