antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Resp_high', 'Temp_abnormal'})",frozenset({'Sepsis'}),0.0404603758512057,0.01798467990800214,0.002058355506020448,0.05087336592201009,2.8287056640565726,1.0,0.0013306885973790542,1.0346515257639535,0.6737412474920844,0.036504273113660245,0.03349101112895759,0.08266193013108672
"frozenset({'HR_high', 'Temp_abnormal'})",frozenset({'Sepsis'}),0.04668182784545905,0.01798467990800214,0.002363726557617848,0.05063483301131659,2.8154425472308255,1.0,0.001524168826296806,1.0343915642143036,0.6763912307382517,0.03793934255017734,0.03324810971406811,0.09103241865496337
"frozenset({'WBC_abnormal', 'Resp_high'})","frozenset({'HR_high', 'Sepsis'})",0.09925912086637761,0.00861352523176632,0.002076394302317341,0.020918926988206736,2.428613886339894,1.0,0.0012214233602518545,1.012568317472002,0.6530651670651239,0.01962635033918328,0.012412315549611641,0.13099050313509064
"frozenset({'HR_high', 'WBC_abnormal'})","frozenset({'Sepsis', 'Resp_high'})",0.11834738856211466,0.007619458707262548,0.002076394302317341,0.01754491017964072,2.30264522109919,1.0,0.0011746512620559523,1.0101027024799607,0.6416550592890906,0.01675992179049838,0.010001658697830424,0.14502847944088149
"frozenset({'HR_high', 'WBC_abnormal', 'Resp_high'})",frozenset({'Sepsis'}),0.0505550151074919,0.01798467990800214,0.002076394302317341,0.04107197471709654,2.2837200843825913,1.0,0.0011671785378648868,1.0240761498260345,0.5920490107731387,0.031241215528522274,0.023510116733139682,0.07826273904217056
frozenset({'Temp_abnormal'}),"frozenset({'HR_high', 'Sepsis'})",0.12109250681286682,0.00861352523176632,0.002363726557617848,0.019520006809923336,2.2662041713112266,1.0,0.0013206931948073848,1.011123614611117,0.6357136522464644,0.01856198965911506,0.011001241045483027,0.14697017543188762
frozenset({'Temp_abnormal'}),"frozenset({'Sepsis', 'Resp_high'})",0.12109250681286682,0.007619458707262548,0.002058355506020448,0.016998207074871916,2.2308943099422454,1.0,0.0011356961506009007,1.0095409270207951,0.6277671718749465,0.016251850269338175,0.009450758028157242,0.14357139575016953
"frozenset({'HR_high', 'Resp_high'})","frozenset({'WBC_abnormal', 'Sepsis'})",0.1320742683013252,0.007473215608712738,0.002076394302317341,0.01572141439072812,2.103701433744146,1.0,0.0010893748189385634,1.0083799433438956,0.604484180204387,0.015104225246503953,0.008310303471632726,0.1467831209884675
frozenset({'Temp_abnormal'}),frozenset({'Sepsis'}),0.12109250681286682,0.01798467990800214,0.0043421959657520565,0.03585850256170163,1.993836017384256,1.0,0.0021643859914650784,1.018538588683497,0.5671293556966667,0.03222767850738989,0.018201164776151378,0.13864855204027193
"frozenset({'WBC_abnormal', 'Resp_high'})",frozenset({'Sepsis'}),0.09925912086637761,0.01798467990800214,0.003418996140986078,0.03444515840099694,1.9152500115206856,1.0,0.0016338526242545806,1.0170476888352975,0.530535435064441,0.030037355671270093,0.016761936556603556,0.11227559539192991
"frozenset({'HR_high', 'Resp_high'})",frozenset({'Sepsis'}),0.1320742683013252,0.01798467990800214,0.004461380869856527,0.03377933436419244,1.8782282774553356,1.0,0.0020860674303736,1.0163468398244173,0.5387365956236254,0.030641864087292806,0.0160839185835824,0.14092247990598217
frozenset({'HR_high'}),"frozenset({'WBC_abnormal', 'Sepsis', 'Resp_high'})",0.33001204733895545,0.003418996140986078,0.002076394302317341,0.006291874248410925,1.8402694793906014,1.0,0.0009480843859865373,1.002891068345901,0.6815067665277581,0.006266380470202125,0.0028827341644084483,0.3068014863987485
frozenset({'Resp_high'}),"frozenset({'HR_high', 'WBC_abnormal', 'Sepsis'})",0.2893190998640648,0.0039053993982772948,0.002076394302317341,0.007176831060558826,1.8376689113345457,1.0,0.0009464876637980937,1.003295079894012,0.6414022597173514,0.007131745894765258,0.003284258001504394,0.2694247731680227
"frozenset({'HR_high', 'WBC_abnormal'})",frozenset({'Sepsis'}),0.11834738856211466,0.01798467990800214,0.0039053993982772948,0.03299945563418617,1.8348647739626063,1.0,0.0017769594970397091,1.015527163675002,0.516077084763873,0.029491033986203136,0.015289757113745852,0.1250754549986377
frozenset({'Resp_high'}),"frozenset({'HR_high', 'Sepsis'})",0.2893190998640648,0.00861352523176632,0.004461380869856527,0.015420277720871818,1.7902400359846258,1.0,0.001969323503145485,1.0069133583955487,0.621116576024245,0.015202105683721562,0.006865892023286661,0.26668545673627736
frozenset({'HR_high'}),"frozenset({'Sepsis', 'Resp_high'})",0.33001204733895545,0.007619458707262548,0.004461380869856527,0.013518842435695209,1.7742523393177019,1.0,0.0019468677022581827,1.0059802295088927,0.6513285963788026,0.01339069902349415,0.0059446789643293006,0.2995217447149306
frozenset({'Lactate_high'}),frozenset({'Sepsis'}),0.09087559028739668,0.01798467990800214,0.0027657340179486024,0.03043428944122276,1.6922341457787784,1.0,0.001131365615179025,1.0128403979200602,0.449955169063445,0.02606858107492668,0.012677612333027867,0.09210853317167887
frozenset({'HR_high'}),"frozenset({'Sepsis', 'Temp_abnormal'})",0.33001204733895545,0.0043421959657520565,0.002363726557617848,0.00716254626665209,1.6495216529020833,1.0,0.0009307495770130591,1.0028406969240482,0.5877174955313389,0.007119861677912127,0.0028326502232719113,0.27576228203540326
frozenset({'Resp_high'}),"frozenset({'Sepsis', 'Temp_abnormal'})",0.2893190998640648,0.0043421959657520565,0.002058355506020448,0.0071144819232036765,1.6384525201804123,1.0,0.0008020752777756898,1.0027921506628694,0.5483023422891516,0.0070587611487553815,0.002784376264835926,0.24057504511590452
frozenset({'HR_high'}),"frozenset({'WBC_abnormal', 'Sepsis'})",0.33001204733895545,0.007473215608712738,0.0039053993982772948,0.011834111602192686,1.5835367560378888,1.0,0.001439148215040566,1.0044131213642182,0.5500131523662104,0.011707539408172487,0.004393731294772532,0.26721015924937225
frozenset({'Resp_high'}),"frozenset({'WBC_abnormal', 'Sepsis'})",0.2893190998640648,0.007473215608712738,0.003418996140986078,0.01181738828370639,1.581298988607922,1.0,0.0012568521279832296,1.0043961233718215,0.5172624237079904,0.011654080026000435,0.004376882058309303,0.2346586941418532
frozenset({'WBC_abnormal'}),"frozenset({'HR_high', 'Sepsis', 'Resp_high'})",0.294850567899962,0.004461380869856527,0.002076394302317341,0.007042191972381847,1.5784780940723215,1.0,0.0007609536192221174,1.0025991145662592,0.5197173292184887,0.006985686170812271,0.00259237668226303,0.23622867721362775
