vital,mean_gamma_x
Glucose,0.028898621
Hct,0.03082648
Alkalinephos,0.031450853
Platelets,0.031801052
EtCO2,0.055325564
Calcium,0.062258694
SaO2,0.06752812
DBP,0.17467487
AST,0.2938239
Creatinine,0.57191753
Fibrinogen,0.971881
O2Sat,0.9889684
Bilirubin_direct,0.9895153
MAP,0.9979522
HR,0.9980549
PaCO2,0.9983028
HCO3,0.9988672
Resp,0.9990383
Magnesium,0.9995226
Chloride,0.99953836
pH,0.9995486
SBP,0.9998743
Bilirubin_total,0.99990106
TroponinI,0.9999251
BUN,0.9999355
Phosphate,0.9999692
Lactate,0.99997437
WBC,0.99999213
BaseExcess,1.0
Potassium,1.0
Temp,1.0
FiO2,1.0
PTT,1.0
Hgb,1.0
