feature,mean_abs_shap
Lactate_max_12h,0.2522981
partial_sirs_score,0.1255075
Lactate_hours_since_last,0.10288828
Bilirubin_total_ffill,0.098058574
Temp_max_6h,0.092338905
Bilirubin_total_hours_since_last,0.08869679
Lactate_ffill,0.08035789
Temp_ffill,0.07115083
Resp_mean_12h,0.07099145
Temp_max_12h,0.06599865
BUN_ffill,0.057056017
shock_index,0.04998602
Temp_max_3h,0.04930071
Resp_min_12h,0.048613876
Potassium_mean_12h,0.04835162
Lactate_min_12h,0.044819262
MAP_min_3h,0.04470191
Potassium_min_12h,0.042448826
SBP_std_6h,0.042422373
Temp_std_12h,0.04214049
SBP_std_12h,0.04160681
MAP_min_6h,0.039121963
Lactate_max_6h,0.03879283
Resp_slope_12h,0.03836653
Creatinine_max_6h,0.03638161
Potassium_hours_since_last,0.036325544
Glucose_std_12h,0.03600722
WBC_ffill,0.033987217
BUN_max_3h,0.032778434
Resp_std_12h,0.03237314
Temp_missing,0.032201707
HR_slope_12h,0.031704504
Potassium_max_12h,0.030908521
HR_max_6h,0.030182192
BUN_min_12h,0.029695855
Temp_hours_since_last,0.029636255
HR_std_6h,0.028632144
Creatinine_min_3h,0.027614426
Temp_min_12h,0.02753655
HR_max_12h,0.027249936
O2Sat_max_6h,0.026881153
Creatinine_max_3h,0.026158798
Glucose_std_6h,0.025935065
BUN_mean_3h,0.025840763
MAP_max_12h,0.025307799
BUN_mean_12h,0.025091188
Glucose_max_12h,0.02466765
O2Sat_std_6h,0.024658106
O2Sat_mean_12h,0.0245085
BUN_slope_12h,0.024032606
HR_slope_6h,0.024030132
Creatinine_ffill,0.023933275
Temp_std_6h,0.023562465
DBP_max_12h,0.023263946
SBP_mean_12h,0.023251114
Temp_mean_12h,0.022642262
Resp_std_6h,0.022605747
Creatinine_max_12h,0.021452129
O2Sat_min_6h,0.021098118
Resp_std_3h,0.019735089
BUN_min_6h,0.01971573
Platelets_slope_12h,0.01957376
Potassium_slope_12h,0.019468335
Glucose_mean_12h,0.019464785
WBC_max_12h,0.019026093
SBP_max_12h,0.018953158
Platelets_max_12h,0.018768298
WBC_max_6h,0.018536264
SBP_min_6h,0.018354593
Creatinine_min_6h,0.018134264
MAP_min_12h,0.017871289
WBC_slope_12h,0.017833998
Glucose_min_12h,0.01740961
Resp_max_12h,0.017014742
HR_slope_3h,0.016679505
BUN_max_12h,0.016511017
WBC_max_3h,0.016216412
Resp_mean_6h,0.015867317
WBC_std_12h,0.015862359
MAP_std_6h,0.015833925
Lactate_min_6h,0.015727706
Glucose_min_6h,0.015691336
DBP_min_12h,0.015148987
Platelets_mean_12h,0.0149960285
MAP_std_12h,0.014283508
Platelets_ffill,0.014067819
O2Sat_max_3h,0.013779377
Creatinine_min_12h,0.013702385
Platelets_std_12h,0.01369886
Glucose_hours_since_last,0.0130265625
MAP_mean_12h,0.012981372
HR_std_12h,0.012713318
WBC_min_12h,0.012641695
O2Sat_min_12h,0.01252225
SBP_slope_12h,0.012422632
DBP_max_6h,0.012258494
Lactate_mean_12h,0.0122183375
DBP_mean_12h,0.011698291
Temp_slope_12h,0.011589576
Glucose_max_3h,0.011282817
SBP_min_3h,0.01126502
Platelets_min_12h,0.011138701
Glucose_max_6h,0.011015355
DBP_slope_12h,0.011012091
BUN_max_6h,0.01100772
SBP_mean_6h,0.010478595
DBP_min_6h,0.010420159
SBP_min_12h,0.0103823375
Resp_max_6h,0.010204239
Platelets_hours_since_last,0.010005723
HR_min_12h,0.009936145
Bilirubin_total_min_12h,0.009856157
WBC_hours_since_last,0.009828101
O2Sat_ffill,0.009796723
Creatinine_mean_6h,0.009769752
Lactate_std_12h,0.009547964
Temp_mean_6h,0.0094766235
HR_mean_12h,0.009452352
Temp_std_3h,0.009359
SBP_hours_since_last,0.009227666
Resp_min_6h,0.00917533
Platelets_max_6h,0.009140945
HR_ffill,0.008752306
Creatinine_mean_12h,0.008622022
Bilirubin_total_slope_12h,0.008430043
Resp_min_3h,0.00828657
Platelets_min_6h,0.008265115
DBP_hours_since_last,0.008213672
Platelets_min_3h,0.008160635
Temp_velocity_1h,0.008127579
MAP_slope_12h,0.00807585
Lactate_slope_12h,0.008071623
DBP_min_3h,0.008060622
Temp_min_3h,0.008053668
Temp_slope_6h,0.007968371
MAP_max_6h,0.007868273
HR_min_3h,0.007830244
MAP_mean_3h,0.007522103
BUN_min_3h,0.007498938
Creatinine_mean_3h,0.0074352957
Bilirubin_total_max_12h,0.0074344743
Platelets_max_3h,0.0073854034
Glucose_min_3h,0.0071493094
HR_mean_3h,0.007063005
WBC_min_6h,0.0069064284
WBC_mean_12h,0.0067583574
Potassium_min_6h,0.006584844
O2Sat_std_12h,0.0064642485
WBC_min_3h,0.0064416365
Resp_mean_3h,0.0061511444
O2Sat_min_3h,0.006119234
SBP_max_6h,0.0059910826
Glucose_slope_12h,0.005868497
Potassium_max_6h,0.005806616
HR_min_6h,0.005787528
HR_max_3h,0.0057823737
WBC_mean_6h,0.0056107654
Potassium_mean_6h,0.00556005
Bilirubin_total_mean_12h,0.0055110566
