feature,tabnet_importance
Bilirubin_total_hours_since_last,0.12771152007298608
Lactate_hours_since_last,0.12168692356464994
Temp_mean_6h,0.09117022483737962
Resp_mean_12h,0.035852310587885176
Temp_max_3h,0.02568565215663219
SBP_min_6h,0.021931283680385796
MAP_min_3h,0.021357362173979374
BUN_max_6h,0.020689274042189478
Lactate_missing,0.018817822776206965
HR_mean_6h,0.01756868348650192
HR_mean_3h,0.017380146009113896
WBC_mean_3h,0.015646781251083375
Platelets_std_6h,0.01433540378878125
MAP_min_6h,0.01422259967507992
Temp_mean_3h,0.01163573258881645
HR_hours_since_last,0.010646410560695298
WBC_ffill,0.009862253132999607
Bilirubin_total_max_6h,0.009209084342645864
Creatinine_max_12h,0.009010822368853182
Temp_ffill,0.008432379896202581
Creatinine_min_12h,0.008249814960429903
Potassium_min_12h,0.00734113072764825
Creatinine_mean_12h,0.007174527780131413
Bilirubin_total_max_3h,0.007027039743465057
MAP_slope_6h,0.006250082233653487
MAP_max_12h,0.006077925948414317
BUN_ffill,0.005434887328456079
Lactate_std_3h,0.005422175045973818
O2Sat_mean_12h,0.00541006828057677
HR_max_3h,0.005171592664583643
Lactate_mean_3h,0.005114913875929112
Creatinine_std_6h,0.00497963837715046
Platelets_ffill,0.004954977943692622
Resp_min_6h,0.00481765806966476
Platelets_mean_3h,0.004483517790377457
Lactate_slope_3h,0.004367508611465937
Temp_mean_12h,0.004260427052873042
Potassium_std_12h,0.004252208540294606
DBP_slope_12h,0.004170643331700871
WBC_min_6h,0.0041007901786301966
HR_max_6h,0.004021272731640416
Creatinine_std_12h,0.0039041691628199523
MAP_mean_6h,0.003695290030838061
Potassium_max_12h,0.0036684121479986765
Bilirubin_total_slope_6h,0.0035401190572778027
DBP_max_12h,0.0035049636109191424
partial_sirs_score,0.00342453173570575
Bilirubin_total_mean_3h,0.0033853848927369408
Lactate_max_12h,0.003293241541910535
Resp_max_12h,0.003264090437996767
BUN_min_6h,0.003251204281977875
MAP_ffill,0.0032147087258496735
Resp_min_12h,0.003206995544503812
Platelets_mean_12h,0.0030425514601211388
SBP_ffill,0.0030309748104772093
Resp_max_6h,0.0029679447264983694
Resp_ffill,0.0029448265083060953
