lag_hours,mean_attention_weight,n_query_positions
0,0.10776703,46561
1,0.0806912,45361
2,0.069671266,44161
3,0.06343924,42961
4,0.058784638,41761
5,0.054422665,40561
6,0.050327037,39361
7,0.046942033,38161
8,0.044492424,36961
9,0.042738583,35764
10,0.041122343,34574
11,0.039048072,33391
12,0.03661494,32219
13,0.034386214,31062
14,0.032862365,29912
15,0.032085806,28776
16,0.031801958,27654
17,0.031605195,26553
18,0.03112251,25474
19,0.030375326,24421
20,0.029601827,23396
21,0.029116454,22396
22,0.028878253,21421
23,0.028678121,20477
24,0.02832919,19559
25,0.027866611,18676
26,0.027433224,17819
27,0.027071286,16986
28,0.026739128,16178
29,0.026271679,15383
30,0.025603147,14603
31,0.024881437,13835
32,0.024311207,13080
33,0.024009679,12335
34,0.023930227,11601
35,0.02379449,10884
36,0.023284383,10181
37,0.022257343,9519
38,0.020845827,8897
39,0.019430945,8301
40,0.018282656,7749
41,0.017447015,7230
42,0.016797025,6752
43,0.016169352,6311
44,0.015481055,5902
45,0.014750472,5526
46,0.014101241,5186
47,0.01358222,4880
48,0.0131006455,4601
49,0.012607022,4349
50,0.012017776,4120
51,0.011363531,3919
52,0.010693059,3747
53,0.010093448,3594
54,0.009558712,3462
55,0.009050507,3346
56,0.008579136,3248
57,0.008195185,3160
58,0.007925266,3085
59,0.0077619175,3027
60,0.007656709,2985
61,0.0074912934,2943
62,0.0072778873,2903
63,0.0070727644,2865
64,0.0069419164,2829
65,0.006918013,2794
66,0.0069590574,2759
67,0.006978157,2724
68,0.006920786,2690
69,0.0067857495,2656
70,0.0066128033,2622
71,0.0064595505,2589
72,0.006350465,2556
73,0.00627722,2523
74,0.006217017,2491
75,0.0061552944,2460
76,0.006109059,2429
77,0.006088693,2399
78,0.0060871756,2369
79,0.0060649253,2339
80,0.0059919185,2311
81,0.0058828914,2284
82,0.0057706083,2257
83,0.005703232,2230
84,0.00568628,2204
85,0.0056799264,2179
86,0.005634333,2154
87,0.0055254367,2129
88,0.005397713,2104
89,0.0053093564,2079
90,0.0052900994,2055
91,0.0053197825,2031
92,0.005352146,2007
93,0.0053448044,1984
94,0.0052870056,1961
95,0.005221063,1938
96,0.0051891548,1915
97,0.0051949457,1892
98,0.0052152984,1870
99,0.0052262056,1848
100,0.0052088443,1826
101,0.005180579,1804
102,0.0051593846,1782
103,0.005139834,1760
104,0.00509905,1739
105,0.0050230655,1718
106,0.004923922,1697
107,0.00484576,1676
108,0.004826684,1655
109,0.0048663067,1634
110,0.004915603,1613
111,0.004927028,1593
112,0.0048670247,1573
113,0.0047558104,1553
114,0.0046528964,1533
115,0.004589956,1513
116,0.0045742425,1493
117,0.004570058,1473
118,0.0045400616,1453
119,0.0044817654,1433
120,0.0044183773,1413
121,0.004388679,1394
122,0.0043967627,1375
123,0.0044287364,1356
124,0.0044583445,1338
125,0.0044672205,1320
126,0.0044565415,1302
127,0.004450435,1284
128,0.0044471747,1266
129,0.0044233385,1248
130,0.004362519,1230
131,0.004279378,1212
132,0.0042046327,1195
133,0.004182684,1178
134,0.004196716,1161
135,0.00422894,1144
136,0.004224266,1127
137,0.0041682543,1110
138,0.0040771705,1093
139,0.003990268,1076
140,0.003951603,1059
141,0.0039651324,1042
142,0.0039921114,1025
143,0.003988136,1008
144,0.0039484366,991
145,0.003885332,974
146,0.0038352413,957
147,0.0038004823,941
148,0.0037749023,925
149,0.0037436762,910
150,0.003710503,895
151,0.003683493,880
152,0.0036781582,865
153,0.0037002438,851
154,0.003727986,837
155,0.0037386834,823
156,0.0037259932,809
157,0.0037055726,795
158,0.003696596,782
159,0.003710387,769
160,0.0037259809,756
161,0.0037242703,743
162,0.0036707667,731
163,0.0035924858,719
164,0.0035283845,708
165,0.0035158268,697
166,0.0035555619,686
167,0.0036155256,675
168,0.0036572271,664
169,0.0036639094,653
170,0.003634907,642
171,0.0036137165,631
172,0.0035985196,620
173,0.0035833702,609
174,0.0035632178,598
175,0.0035291712,587
176,0.0034937793,576
177,0.00347281,565
178,0.003462484,554
179,0.00346494,543
180,0.003446814,532
181,0.0034052199,521
182,0.0033494919,510
183,0.0032987474,500
184,0.0032699774,490
185,0.0032473686,480
186,0.0032186455,470
187,0.003154284,460
188,0.0030705233,450
189,0.0029805878,440
190,0.0029115542,430
191,0.0028732999,421
192,0.0028467707,412
193,0.002808397,405
194,0.0027533204,398
195,0.002688979,391
196,0.0026429696,384
197,0.0026179987,377
198,0.0026160937,370
199,0.0026254626,363
200,0.002634069,356
201,0.002642852,349
202,0.0026535895,342
203,0.0026662347,335
204,0.0026710073,328
205,0.002654562,321
206,0.002620552,314
207,0.002583974,307
208,0.0025688573,300
209,0.0025919043,293
210,0.0026440937,286
211,0.0026912543,279
212,0.00272049,272
213,0.0027057123,265
214,0.0026689535,258
215,0.0026380892,251
216,0.002616162,244
217,0.002615448,237
218,0.0026059935,230
219,0.002587908,223
220,0.0025623424,217
221,0.0025294183,211
222,0.0025173447,205
223,0.0025189447,199
224,0.0025289662,193
225,0.0025271962,187
226,0.0025167207,181
227,0.0025033664,175
228,0.0025066019,170
229,0.002517441,165
230,0.0025313285,160
231,0.0025298556,155
232,0.0025244155,150
233,0.0025170166,145
234,0.0025292577,140
235,0.0025610484,135
236,0.002591444,130
237,0.0025861328,125
238,0.0025601229,120
239,0.0025119456,115
240,0.0025008675,110
241,0.0025081548,106
242,0.0025367795,102
243,0.0025670428,98
244,0.002581628,94
245,0.002561878,90
246,0.002519995,86
247,0.0024754866,82
248,0.0024151767,78
249,0.0023675803,75
250,0.0023231911,72
251,0.0022683975,69
252,0.0022247354,66
253,0.0022032054,63
254,0.002187167,60
255,0.0021937261,57
256,0.0021947061,54
257,0.0021867235,52
258,0.0022016005,50
259,0.0022156173,48
260,0.0022588845,46
261,0.00232506,44
262,0.0023693005,42
263,0.002376641,40
264,0.0023742814,38
265,0.0023501392,36
266,0.0023705782,34
267,0.0024140787,33
268,0.0024671762,32
269,0.0025070996,31
270,0.0025219347,30
271,0.0025207861,29
272,0.0025129637,28
273,0.0025175137,27
274,0.0025462348,26
275,0.0025926528,25
276,0.0026495985,24
